tweet_text,username,mentions,date,image,link,quote,reply
"please do,dont fuel there fire",🏳️‍🌈Childish Gamyeeno🏳️‍🌈,thedem0n0,2019-02-27 07:34:00,False,https://web.archive.org/web/20190227153414/https://twitter.com/nekrovevo/status/1100781127755751426,False,True
omg she w o k e,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,http_lessey,2019-09-03 15:27:00,False,https://web.archive.org/web/20190911211207/https://twitter.com/nekrovevo/status/1169014196585074688,True,False
"someone just tried saying ""Kamikaze"" was worse than ""Revival"" excuse me",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-02 08:35:00,False,https://web.archive.org/web/20190911220454/https://twitter.com/nekrovevo/status/1168547927708426240,False,False
SDFGHJKJHGFDSDFGHJKJHGFDSDFGHJKJHGFDSADFGHJKJHGF,🏳️‍🌈ᴇʟ ʏᴇᴇɴᴀʙʟᴏツ🏳️‍🌈,LazdraBoyo,2019-09-11 15:21:00,False,https://web.archive.org/web/20190911222116/https://twitter.com/nekrovevo/status/1171911614666162176,False,True
maybe another draw?,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,miniminter,2019-09-03 10:50:00,False,https://web.archive.org/web/20190912033639/https://twitter.com/nekrovevo/status/1168944335007756289,True,False
Thanks for the chance :),🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Trophias,2019-09-03 06:24:00,False,https://web.archive.org/web/20190912043335/https://twitter.com/nekrovevo/status/1168877515537960960,False,True
fair uwu,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,_ErikRivera,2019-09-03 13:58:00,False,https://web.archive.org/web/20190912053912/https://twitter.com/nekrovevo/status/1168991752461737986,False,True
"walk into the club, womans all i see",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,KSIOlajidebt,2019-09-03 10:52:00,False,https://web.archive.org/web/20190912073457/https://twitter.com/nekrovevo/status/1168944807722520577,False,True
to say the least XD,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,AzureCoffeeStar,2019-09-03 11:06:00,False,https://web.archive.org/web/20190912074609/https://twitter.com/nekrovevo/status/1168948494343782401,False,True
I took just a D N A T e S t t u r n z o u t i'm 1 0 0 %stop,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-03 05:21:00,False,https://web.archive.org/web/20190912112834/https://twitter.com/nekrovevo/status/1168861612024848385,False,False
ɐןן ɯʎ ɟɐnןʇ ρДЯДИøîД{3 !nɔɹ!ɯǝnʇs} Wﾑｲᄃん ﾘのひ尺 乃ﾑᄃズյօ.յՅ.յգ ДИЖIΞΓУ,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-03 11:17:00,True,https://web.archive.org/web/20190912120434/https://twitter.com/nekrovevo/status/1168951271656775682,False,False
to all my followerswhy did you press that follow button?,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-03 10:58:00,False,https://web.archive.org/web/20190912140409/https://twitter.com/nekrovevo/status/1168946278035857410,False,False
"i can agree with some of the people. Juice WRLD, Post Malone, Drake, Travis Scott, and Tyler shouldnt be here. Replace them with Eminem, Biggie, Tupac, Dr. Dre, and Snoop. 1. Eminem2. Tupac3. Kendrick Lamar4. Biggie5. J Cole6. Dr. Dre7. Snoop8. 50 cent9. Jay Z10. Logic",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,ripseahawks,2019-09-02 06:56:00,False,https://web.archive.org/web/20190912205353/https://twitter.com/nekrovevo/status/1168523186880663552,True,False
,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,ZipBluePanda,2019-09-03 05:11:00,True,https://web.archive.org/web/20190912205609/https://twitter.com/nekrovevo/status/1168858953293299712,False,True
big L XD,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,ripseahawks,2019-09-02 08:30:00,False,https://web.archive.org/web/20190912214904/https://twitter.com/nekrovevo/status/1168546764623765510,False,True
